所属学区,学校,街道（镇）
紫竹院学区,北京市海淀实验小学（苏州街校区、北洼路校区）,紫竹院街道 甘家口街道
紫竹院学区,北京外国语大学附属小学（本部、魏公村校区）,紫竹院街道 甘家口街道
紫竹院学区,北京理工大学附属中学小学部,紫竹院街道 甘家口街道
紫竹院学区,北京理工大学附属小学,紫竹院街道 甘家口街道
紫竹院学区,首都师范大学实验小学（南校区、北校区）,紫竹院街道 甘家口街道
紫竹院学区,北京市海淀区花园村第二小学（花园村校区 、潘庄校区）,紫竹院街道 甘家口街道
紫竹院学区,北京实验学校（海淀）小学部,紫竹院街道 甘家口街道
中关村学区,北京市海淀区中关村第一小学,中关村街道
中关村学区,北京市海淀区中关村第二小学（本部、华清校区）,中关村街道
中关村学区,北京市海淀区中关村第四小学,中关村街道
中关村学区,中国人民大学附属中学实验小学,中关村街道
中关村学区,北京市海淀区双榆树第一小学,中关村街道
中关村学区,北京市海淀区双榆树中心小学,中关村街道
中关村学区,北京市中科启元学校,中关村街道
羊坊店学区,北京市海淀区羊坊店中心小学（本校、分校）,羊坊店街道 万寿路街道 甘家口街道
羊坊店学区,北京市海淀区羊坊店第四小学,羊坊店街道 万寿路街道 甘家口街道
羊坊店学区,北京市海淀区翠微小学（本部、东校区、西校区）,羊坊店街道 万寿路街道 甘家口街道
羊坊店学区,北京市海淀区七一小学,羊坊店街道 万寿路街道 甘家口街道
羊坊店学区,北京市育鸿学校,羊坊店街道 万寿路街道 甘家口街道
羊坊店学区,北京市海淀区羊坊店第五小学,羊坊店街道 万寿路街道 甘家口街道
学院路学区,北京石油学院附属小学（本校、二里庄校区、志新校区）,学院路街道 东升镇
学院路学区,中国农业大学附属实验小学,学院路街道 东升镇
学院路学区,北京市海淀区第三实验小学,学院路街道 东升镇
学院路学区,北京市海淀区清华东路小学,学院路街道 东升镇
学院路学区,北京科技大学附属小学,学院路街道 东升镇
学院路学区,北京林业大学附属小学,学院路街道 东升镇
学院路学区,北京市海淀区东升实验小学,学院路街道 东升镇
西三旗学区,北京市海淀区育鹰小学（本校、分校）,西三旗街道 东升镇 清河街道
西三旗学区,北京市海淀区清河第四小学,西三旗街道 东升镇 清河街道
西三旗学区,北京市海淀区永泰小学（本部、清缘里校区）,西三旗街道 东升镇 清河街道
西三旗学区,首都师范大学附属育新学校,西三旗街道 东升镇 清河街道
西三旗学区,北京市海淀区枫丹实验小学,西三旗街道 东升镇 清河街道
西三旗学区,北京二十中附属实验学校,西三旗街道 东升镇 清河街道
西三旗学区,北京市海淀区石油附属实验小学,西三旗街道 东升镇 清河街道
西三旗学区,北京市海淀区石油附属第二实验小学,西三旗街道 东升镇 清河街道
西三旗学区,北京市中关村外国语学校,西三旗街道 东升镇 清河街道
万寿路学区,北京市海淀区五一小学,万寿路街道
万寿路学区,北京市海淀区太平路小学（本校、分校区）,万寿路街道
万寿路学区,北京市十一学校一分校,万寿路街道
万寿路学区,北京市海淀区培英小学,万寿路街道
万寿路学区,北京市育英学校（万寿路校区、西翠路校区、紫金长安校区）,万寿路街道
万寿路学区,北京市建华实验学校小学部,万寿路街道
永定路学区,北京市海淀区五一小学（晋元庄分校）,永定路街道 田村路街道 万寿路街道 四季青镇
永定路学区,北京市海淀区玉泉小学（本校、北校区、国科大校区）,永定路街道 田村路街道 万寿路街道 四季青镇
永定路学区,北京教育学院附属海淀实验小学,永定路街道 田村路街道 万寿路街道 四季青镇
永定路学区,首都师范大学附属小学柳明校区,永定路街道 田村路街道 万寿路街道 四季青镇
永定路学区,北京市海淀区图强第二小学,永定路街道 田村路街道 万寿路街道 四季青镇
八里庄学区,中国人民大学附属小学（本部、银燕校区、亮甲店校区）,八里庄街道 曙光街道
八里庄学区,北京市海淀区万泉小学曙光校区,八里庄街道 曙光街道
八里庄学区,北京市海淀区六一小学,八里庄街道 曙光街道
八里庄学区,北京市海淀区八里庄小学,八里庄街道 曙光街道
八里庄学区,北京市海淀区实验小学（本部、阜成路校区）,八里庄街道 曙光街道
八里庄学区,北京市海淀区定慧里小学,八里庄街道 曙光街道
八里庄学区,北京市二十一世纪国际学校,八里庄街道 曙光街道
上地学区,北京市海淀区上地实验小学,上地街道 清华园街道 燕园街道
上地学区,北京市海淀区清河第五小学,上地街道 清华园街道 燕园街道
上地学区,清华大学附属实验学校小学部,上地街道 清华园街道 燕园街道
上地学区,清华大学附属小学,上地街道 清华园街道 燕园街道
上地学区,北京大学附属小学,上地街道 清华园街道 燕园街道
清河学区,北京市海淀区第二实验小学（橡树湾校区、清宁校区、当代校区、汇缘校区）,清河街道 上地街道
清河学区,北京市海淀区清河第一小学（本部、分校区）,清河街道 上地街道
清河学区,北京市海淀区西二旗小学,清河街道 上地街道
清河学区,北京市北外附属外国语学校,清河街道 上地街道
青龙桥学区,北京市海淀区中关村第一小学（党校校区、天秀校区）,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,北京市海淀区中关村第二小学（百旺校区）,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,北京市海淀区培星小学（本部、北校区）,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,北京市海淀区中关村第三小学（红山校区）,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,北京大学附属小学肖家河分校,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,北京市海淀区六郎庄小学,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,北京市海淀区西苑小学,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,北京市海淀区东北旺中心小学,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,中国农业大学附属小学,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
青龙桥学区,北京市海淀区崛起实验学校小学部,青龙桥街道 马连洼街道 上地街道 西北旺镇 海淀镇 燕园街道
花园路学区,北京医科大学附属小学（本校、南校区）,花园路街道
花园路学区,北京市海淀区九一小学（本校、西校区）,花园路街道
花园路学区,北京市北航实验学校,花园路街道
花园路学区,北京市海淀区民族小学（本部、北校区）,花园路街道
花园路学区,北京市海淀区前进小学,花园路街道
海淀学区,北京市海淀区中关村第三小学,海淀街道 燕园街道 紫竹院街道
海淀学区,北京市八一学校,海淀街道 燕园街道 紫竹院街道
海淀学区,北京市健翔学校,海淀街道 燕园街道 紫竹院街道
海淀学区,北京市海淀区万泉小学,海淀街道 燕园街道 紫竹院街道
海淀学区,北京市海淀区西颐小学,海淀街道 燕园街道 紫竹院街道
海淀学区,北京市海淀区万泉河小学,海淀街道 燕园街道 紫竹院街道
北太平庄学区,北京市海淀区中国农业科学院附属小学（农科院校区、学院南路校区、气象路校区、明光路校区、政法路校区）,北下关街道 北太平庄街道
北太平庄学区,北方交通大学附属小学（南校区、北校区）,北下关街道 北太平庄街道
北太平庄学区,北京市海淀区星火小学,北下关街道 北太平庄街道
北太平庄学区,北京市海淀区今典小学（本校区、南校区）,北下关街道 北太平庄街道
北太平庄学区,北京市海淀区学院路小学,北下关街道 北太平庄街道
北太平庄学区,北京师范大学实验小学,北下关街道 北太平庄街道
上庄西北旺学区,北京市海淀区红英小学（本部、唐家岭校区、六里屯校区、冷泉校区）,西北旺镇 上庄镇
上庄西北旺学区,北京市海淀区科技园小学（西玉河校区、大牛坊校区）,西北旺镇 上庄镇
上庄西北旺学区,北京市海淀区永丰中心小学（本部、屯佃校区、宏丰校区）,西北旺镇 上庄镇
上庄西北旺学区,清华大学附属中学永丰学校(小学部),西北旺镇 上庄镇
上庄西北旺学区,北京市海淀区翠湖小学（白水洼校区、前章村校区）,西北旺镇 上庄镇
上庄西北旺学区,北京市海淀区上庄中心小学（上庄校区、马坊校区）,西北旺镇 上庄镇
上庄西北旺学区,北京市海淀区上地实验小学(上庄校区),西北旺镇 上庄镇
上庄西北旺学区,北京市海淀区振兴小学,西北旺镇 上庄镇
上庄西北旺学区,人大附中航天城学校,西北旺镇 上庄镇
四季青学区,首都师范大学附属小学（本校区）,四季青镇 香山街道 曙光街道
四季青学区,首都师范大学附属玉泉学校小学部,四季青镇 香山街道 曙光街道
四季青学区,北京市海淀区教师进修学校附属实验小学（本部、北辛庄校区、西冉校区）,四季青镇 香山街道 曙光街道
四季青学区,北京市海淀区第四实验小学,四季青镇 香山街道 曙光街道
四季青学区,北京市海淀区四王府小学,四季青镇 香山街道 曙光街道
四季青学区,北京市海淀区香山小学,四季青镇 香山街道 曙光街道
四季青学区,北京市海淀区行知实验学校双槐树校区,四季青镇 香山街道 曙光街道
四季青学区,北京市海淀外国语实验学校小学部,四季青镇 香山街道 曙光街道
四季青学区,北京市海淀区尚丽外国语学校小学部,四季青镇 香山街道 曙光街道
四季青学区,北京市海淀国际学校小学部,四季青镇 香山街道 曙光街道
四季青学区,北京海淀凯文学校,四季青镇 香山街道 曙光街道
温泉苏家坨学区,北京市海淀区翠微小学(温泉校区、白家疃校区),温泉镇 苏家坨镇
温泉苏家坨学区,北京市海淀区和平小学（本部、东埠头校区、辛庄校区）,温泉镇 苏家坨镇
温泉苏家坨学区,北京市海淀区苏家坨中心小学（本部、苏三四校区）,温泉镇 苏家坨镇
温泉苏家坨学区,北京市海淀区北部新区实验学校（小学部）,温泉镇 苏家坨镇
温泉苏家坨学区,北京市海淀区北安河中心小学（本部、周家巷校区）,温泉镇 苏家坨镇
温泉苏家坨学区,北京市海淀区台头小学（本部、红星校区）,温泉镇 苏家坨镇
温泉苏家坨学区,人大附中北大附小联合实验学校,温泉镇 苏家坨镇
温泉苏家坨学区,北京中法实验学校,温泉镇 苏家坨镇
